Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
22/05/2004,13.00.00,2,1246,-200,12,6,1070,104,770,84,1747,1064,27,9
22/05/2004,14.00.00,1,4,1154,-200,8,3,912,78,872,76,1605,825,28
22/05/2004,15.00.00,1,8,1237,-200,10,5,997,97,800,87,1688,924,29
22/05/2004,16.00.00,2,1,1315,-200,11,7,1041,115,773,101,1767,966,28
22/05/2004,17.00.00,2,8,1466,-200,15,8,1174,152,680,115,1965,1302,25
22/05/2004,18.00.00,2,8,1409,-200,13,9,1113,157,710,110,1850,1256,25
22/05/2004,19.00.00,2,7,1366,-200,15,7,1171,132,693,103,1933,1068,24
22/05/2004,20.00.00,1,8,1241,-200,10,9,1011,98,781,90,1748,1070,22
22/05/2004,21.00.00,1,2,1123,-200,6,4,832,65,930,68,1565,792,21
22/05/2004,22.00.00,2,6,1321,-200,12,7,1075,101,757,85,1891,1017,20
22/05/2004,23.00.00,3,1,1397,-200,15,3,1159,134,681,100,1949,1207,20
23/05/2004,00.00.00,4,1,1507,-200,20,5,1311,177,608,114,2107,1499,19
23/05/2004,01.00.00,3,6,1405,-200,15,9,1177,179,660,108,1931,1474,19
23/05/2004,02.00.00,1,9,1192,-200,10,4,994,105,759,78,1780,1163,19
23/05/2004,03.00.00,1,9,1199,-200,12,6,1070,-200,671,-200,1873,1189,18
23/05/2004,04.00.00,-200,973,-200,4,9,761,49,954,55,1501,815,18,0
23/05/2004,05.00.00,0,3,864,-200,2,1,591,27,1247,37,1374,507,17
23/05/2004,06.00.00,0,4,886,-200,2,2,598,41,1257,53,1374,506,17
23/05/2004,07.00.00,0,8,988,-200,4,0,713,78,1092,79,1455,716,18
23/05/2004,08.00.00,0,8,1008,-200,4,3,729,68,1034,65,1490,795,20
23/05/2004,09.00.00,0,8,976,-200,3,8,698,64,1156,64,1393,594,20
23/05/2004,10.00.00,0,8,978,-200,4,1,718,67,1137,66,1392,565,23
23/05/2004,11.00.00,0,9,987,-200,4,5,740,54,1105,53,1407,523,26
23/05/2004,12.00.00,1,2,1030,-200,5,3,778,67,1071,69,1452,591,26
23/05/2004,13.00.00,1,955,-200,4,2,723,51,1129,57,1393,559,27,7
23/05/2004,14.00.00,0,8,924,-200,3,3,673,28,1247,36,1346,430,28
23/05/2004,15.00.00,1,1,1005,-200,4,9,758,51,1091,57,1434,522,26
23/05/2004,16.00.00,1,5,1059,-200,6,1,816,77,1023,73,1468,641,25
23/05/2004,17.00.00,1,5,1079,-200,6,9,851,93,991,81,1490,738,25
23/05/2004,18.00.00,1,4,1070,-200,6,8,850,94,997,91,1502,778,24
23/05/2004,19.00.00,1,1,1085,-200,5,8,805,69,972,65,1528,718,25
23/05/2004,20.00.00,0,9,1066,-200,5,5,787,57,986,56,1552,689,23
23/05/2004,21.00.00,1,1094,-200,6,1,815,74,934,69,1563,852,21,4
23/05/2004,22.00.00,1,1,1110,-200,6,0,814,75,948,73,1571,854,20
23/05/2004,23.00.00,1,968,-200,4,2,719,73,1081,76,1388,664,19,2
24/05/2004,00.00.00,0,7,906,-200,4,1,714,56,1163,67,1351,544,19
24/05/2004,01.00.00,0,5,849,-200,2,4,615,31,1285,44,1276,461,17
24/05/2004,02.00.00,0,2,774,-200,1,0,500,13,1536,21,1169,352,15
24/05/2004,03.00.00,-200,746,-200,0,6,450,-200,1807,-200,1111,308,15,7
24/05/2004,04.00.00,-200,753,-200,0,5,437,14,1904,19,1110,301,16,3
24/05/2004,05.00.00,0,1,749,-200,0,7,466,23,1803,29,1089,307,16
24/05/2004,06.00.00,0,5,864,-200,2,8,642,72,1288,69,1255,441,16
24/05/2004,07.00.00,1,6,1002,-200,7,8,893,165,1010,111,1394,775,17
24/05/2004,08.00.00,2,970,-200,9,7,966,118,944,81,1379,907,18,4
24/05/2004,09.00.00,1,3,898,-200,6,9,853,85,1066,56,1271,763,19
24/05/2004,10.00.00,1,847,-200,5,8,800,116,1155,90,1179,649,21,7
24/05/2004,11.00.00,0,9,847,-200,5,5,788,112,1203,85,1162,598,22
24/05/2004,12.00.00,1,2,871,-200,6,8,848,100,1139,83,1208,579,22
24/05/2004,13.00.00,1,3,869,-200,7,2,866,109,1107,85,1212,596,23
24/05/2004,14.00.00,1,1,875,-200,6,9,854,111,1160,85,1200,595,25
24/05/2004,15.00.00,1,2,895,-200,7,5,878,109,1122,81,1238,607,25
24/05/2004,16.00.00,1,4,926,-200,7,7,885,114,1101,92,1259,662,25
24/05/2004,17.00.00,2,996,-200,12,0,1048,139,959,108,1397,822,24,5
24/05/2004,18.00.00,2,4,997,-200,13,5,1100,157,896,106,1392,987,22
24/05/2004,19.00.00,2,1,1006,-200,12,0,1048,147,925,114,1416,966,21
24/05/2004,20.00.00,1,2,895,-200,6,7,845,102,1072,96,1241,763,19
24/05/2004,21.00.00,0,7,862,-200,4,8,751,73,1154,77,1213,617,18
24/05/2004,22.00.00,0,7,858,-200,4,8,756,65,1159,73,1209,564,17
24/05/2004,23.00.00,0,8,853,-200,5,0,762,76,1134,86,1184,646,16
25/05/2004,00.00.00,0,5,859,-200,4,3,727,65,1120,84,1187,753,16
25/05/2004,01.00.00,0,2,837,-200,2,7,634,41,1200,56,1150,669,15
25/05/2004,02.00.00,-200,746,-200,0,9,493,17,1522,31,1063,435,17,5
25/05/2004,03.00.00,-200,752,-200,1,2,515,-200,1472,-200,1068,436,13,3
25/05/2004,04.00.00,-200,742,-200,0,9,489,19,1559,30,1048,403,14,0
25/05/2004,05.00.00,0,1,774,-200,1,7,560,45,1386,51,1107,532,11
25/05/2004,06.00.00,0,2,798,-200,2,6,630,40,1291,45,1125,536,13
25/05/2004,07.00.00,1,1,1002,-200,8,8,932,101,949,82,1405,917,15
25/05/2004,08.00.00,3,1210,-200,22,2,1356,183,657,100,1786,1481,16,3
25/05/2004,09.00.00,2,1,1058,-200,15,3,1158,149,820,91,1459,1187,19
25/05/2004,10.00.00,2,6,1106,-200,14,0,1118,207,885,130,1451,1220,24
25/05/2004,11.00.00,3,2,1153,-200,18,5,1253,289,815,155,1541,1381,28
25/05/2004,12.00.00,2,1,1047,-200,13,5,1101,159,913,114,1391,1103,29
25/05/2004,13.00.00,2,2,1091,-200,15,8,1172,162,874,127,1459,1105,31
25/05/2004,14.00.00,2,4,1162,-200,18,5,1253,173,796,138,1595,1248,32
25/05/2004,15.00.00,-200,1059,-200,12,6,1070,-200,925,-200,1401,976,32,6
25/05/2004,16.00.00,-200,1083,-200,12,0,1051,-200,939,-200,1390,898,32,3
25/05/2004,17.00.00,-200,1150,-200,15,4,1161,-200,867,-200,1512,1038,32,1
25/05/2004,18.00.00,-200,1321,-200,24,9,1426,-200,720,-200,1859,1395,29,7
25/05/2004,19.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
25/05/2004,20.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
25/05/2004,21.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
25/05/2004,22.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
25/05/2004,23.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
26/05/2004,00.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
26/05/2004,01.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
26/05/2004,02.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
26/05/2004,03.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
26/05/2004,04.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
26/05/2004,05.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
26/05/2004,06.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
26/05/2004,07.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
26/05/2004,08.00.00,-200,-200,-200,-200,0,-200,-200,-200,-200,-200,-200,-200,-200
26/05/2004,09.00.00,4,1303,-200,40,2,1776,-200,946,-200,1467,1608,20,4
26/05/2004,10.00.00,2,2,1137,-200,14,9,1146,188,1144,136,1392,1327,26
26/05/2004,11.00.00,1,8,1139,-200,13,8,1109,159,1118,135,1436,1292,28
26/05/2004,12.00.00,1,6,1099,-200,12,3,1059,146,1156,115,1416,1114,29
26/05/2004,13.00.00,1,8,1088,-200,14,0,1116,127,1128,112,1449,1060,31
26/05/2004,14.00.00,1,6,1027,-200,11,8,1041,128,1237,112,1345,915,32
26/05/2004,15.00.00,1,6,1014,-200,12,0,1049,120,1200,109,1366,893,31
26/05/2004,16.00.00,1,3,969,-200,9,7,968,115,1276,112,1325,768,31
26/05/2004,17.00.00,-200,1120,-200,18,0,1238,-200,1023,-200,1591,1126,31,0
26/05/2004,18.00.00,-200,1131,-200,22,6,1368,-200,933,-200,1707,1284,28,6
26/05/2004,19.00.00,-200,1130,-200,22,7,1368,-200,933,-200,1709,1269,26,7
26/05/2004,20.00.00,-200,1123,-200,20,3,1304,-200,939,-200,1720,1290,25,0
26/05/2004,21.00.00,-200,1069,-200,13,1,1086,-200,1064,-200,1536,1119,22,8
26/05/2004,22.00.00,-200,1021,-200,10,9,1010,-200,1116,-200,1480,1027,21,7
26/05/2004,23.00.00,-200,1101,-200,13,3,1093,-200,1012,-200,1564,1155,21,1
27/05/2004,00.00.00,-200,1026,-200,9,5,960,-200,1072,-200,1471,1078,19,9
27/05/2004,01.00.00,-200,949,-200,6,6,841,-200,1155,-200,1393,954,18,6
27/05/2004,02.00.00,-200,846,-200,3,6,687,-200,1295,-200,1288,726,18,6
27/05/2004,03.00.00,-200,811,-200,2,3,606,-200,1417,-200,1248,656,19,0
27/05/2004,04.00.00,-200,803,-200,2,0,586,-200,1442,-200,1232,573,18,0
27/05/2004,05.00.00,-200,882,-200,4,1,715,-200,1246,-200,1367,780,15,5
27/05/2004,06.00.00,-200,963,-200,6,5,836,-200,1085,-200,1429,920,16,0
27/05/2004,07.00.00,-200,1413,-200,24,8,1424,-200,739,-200,2102,1544,17,0
27/05/2004,08.00.00,-200,1485,-200,34,4,1650,-200,632,-200,2337,1789,19,0
27/05/2004,09.00.00,-200,1354,-200,24,5,1418,-200,749,-200,2043,1629,21,8
27/05/2004,10.00.00,-200,1074,-200,9,0,939,-200,1071,-200,1513,997,25,6
27/05/2004,11.00.00,-200,1022,-200,8,4,914,-200,1132,-200,1446,847,26,4
27/05/2004,12.00.00,-200,1100,-200,11,5,1034,-200,995,-200,1586,958,27,1
27/05/2004,13.00.00,-200,1073,-200,12,1,1052,-200,1009,-200,1574,854,27,5
27/05/2004,14.00.00,-200,1049,-200,10,1,983,-200,1071,-200,1515,782,29,5
27/05/2004,15.00.00,-200,1086,-200,11,9,1048,-200,1016,-200,1580,888,30,6
27/05/2004,16.00.00,-200,1059,-200,11,3,1027,-200,1066,-200,1521,764,31,3
27/05/2004,17.00.00,-200,1244,-200,20,2,1301,-200,842,-200,1801,1170,29,4
27/05/2004,18.00.00,-200,1320,-200,24,8,1423,-200,767,-200,1986,1385,27,0
27/05/2004,19.00.00,-200,1236,-200,20,3,1304,-200,822,-200,1868,1237,25,8
27/05/2004,20.00.00,-200,1136,-200,16,2,1187,-200,904,-200,1735,1127,23,7
27/05/2004,21.00.00,-200,1110,-200,13,3,1093,-200,961,-200,1661,1091,21,3
27/05/2004,22.00.00,-200,1026,-200,10,3,990,-200,1032,-200,1553,972,20,5
27/05/2004,23.00.00,-200,1038,-200,9,6,961,-200,1026,-200,1530,949,19,4
28/05/2004,00.00.00,-200,975,-200,7,8,892,-200,1015,-200,1480,890,19,4
28/05/2004,01.00.00,-200,908,-200,6,1,814,-200,1089,-200,1403,763,17,8
28/05/2004,02.00.00,-200,896,-200,6,2,820,-200,1074,-200,1439,833,16,6
28/05/2004,03.00.00,-200,810,-200,3,8,697,-200,1221,-200,1321,675,16,5
28/05/2004,04.00.00,-200,789,-200,2,8,638,-200,1305,-200,1309,672,15,2
28/05/2004,05.00.00,-200,814,-200,3,4,678,-200,1276,-200,1339,626,15,5
28/05/2004,06.00.00,-200,958,-200,8,2,907,-200,992,-200,1536,882,14,9
28/05/2004,07.00.00,-200,1213,-200,19,2,1274,-200,762,-200,1914,1264,16,3
28/05/2004,08.00.00,-200,1221,-200,22,6,1367,-200,722,-200,2008,1330,18,4
28/05/2004,09.00.00,-200,1245,-200,19,4,1281,-200,774,-200,1952,1324,20,8
28/05/2004,10.00.00,-200,1050,-200,9,6,963,-200,998,-200,1609,901,24,3
28/05/2004,11.00.00,-200,1048,-200,9,8,969,-200,1012,-200,1600,852,26,4
28/05/2004,12.00.00,-200,1141,-200,14,4,1128,-200,902,-200,1738,1009,28,3
28/05/2004,13.00.00,-200,1052,-200,12,1,1053,-200,949,-200,1641,831,28,9
28/05/2004,14.00.00,-200,1152,-200,13,5,1099,-200,908,-200,1706,954,28,5
28/05/2004,15.00.00,1,7,1026,-200,12,3,1061,133,982,115,1564,814,29
28/05/2004,16.00.00,1,7,1039,-200,12,2,1055,131,966,117,1590,845,28
28/05/2004,17.00.00,2,1,1148,-200,12,5,1067,133,887,105,1790,956,23
28/05/2004,18.00.00,2,2,1176,-200,13,9,1114,141,843,114,1805,1102,21
28/05/2004,19.00.00,1,8,1100,-200,11,4,1028,112,900,103,1710,994,22
28/05/2004,20.00.00,1,8,1081,-200,10,4,992,147,959,119,1680,935,20
28/05/2004,21.00.00,0,9,976,-200,7,0,858,104,1070,102,1547,839,20
28/05/2004,22.00.00,1,979,-200,7,0,857,97,1082,96,1546,797,19,8
28/05/2004,23.00.00,2,1092,-200,11,3,1024,128,937,109,1706,968,19,6
29/05/2004,00.00.00,1,8,1044,-200,9,2,946,138,1009,119,1594,886,19
29/05/2004,01.00.00,1,1,940,-200,6,8,849,93,1091,103,1509,764,18
29/05/2004,02.00.00,0,6,892,-200,5,1,767,71,1180,84,1466,657,18
29/05/2004,03.00.00,0,3,838,-200,3,4,675,-200,1302,-200,1390,540,17
29/05/2004,04.00.00,-200,853,-200,4,3,727,44,1179,59,1417,621,17,7
29/05/2004,05.00.00,-200,738,-200,1,5,545,18,1562,29,1266,450,17,7
29/05/2004,06.00.00,0,1,762,-200,2,0,581,41,1588,45,1277,434,17
29/05/2004,07.00.00,0,5,841,-200,4,0,713,84,1293,80,1356,559,18
29/05/2004,08.00.00,0,6,843,-200,4,0,712,77,1303,77,1343,548,18
29/05/2004,09.00.00,0,5,841,-200,4,0,713,73,1326,68,1330,525,19
29/05/2004,10.00.00,0,7,862,-200,4,2,721,72,1329,66,1335,522,20
29/05/2004,11.00.00,0,7,869,-200,4,5,740,77,1296,70,1366,535,21
29/05/2004,12.00.00,0,9,894,-200,6,0,810,82,1204,74,1421,585,21
29/05/2004,13.00.00,0,7,844,-200,4,8,755,67,1284,64,1350,521,22
29/05/2004,14.00.00,0,4,823,-200,3,8,699,59,1382,60,1311,493,22
29/05/2004,15.00.00,0,5,843,-200,4,2,719,61,1353,63,1330,501,22
29/05/2004,16.00.00,0,6,865,-200,5,1,767,76,1279,75,1369,559,23
29/05/2004,17.00.00,0,6,873,-200,5,6,792,73,1247,79,1397,589,23
29/05/2004,18.00.00,0,8,899,-200,5,8,803,87,1221,83,1426,596,22
29/05/2004,19.00.00,1,921,-200,7,0,856,98,1163,93,1437,681,21,7
29/05/2004,20.00.00,1,2,937,-200,7,9,893,123,1106,112,1463,783,20
29/05/2004,21.00.00,1,901,-200,6,5,834,102,1177,103,1408,738,20,1
29/05/2004,22.00.00,1,3,955,-200,8,5,918,102,1056,93,1511,762,19
29/05/2004,23.00.00,2,7,1065,-200,13,7,1106,142,897,112,1707,929,19
30/05/2004,00.00.00,2,7,1035,-200,13,8,1110,148,907,125,1652,1044,18
30/05/2004,01.00.00,1,6,956,-200,9,1,945,107,1030,107,1509,892,17
30/05/2004,02.00.00,0,6,869,-200,6,5,835,61,1078,76,1437,807,19
30/05/2004,03.00.00,0,3,831,-200,6,2,822,-200,1085,-200,1418,710,17
30/05/2004,04.00.00,-200,815,-200,5,2,774,43,1113,55,1374,712,17,0
30/05/2004,05.00.00,0,1,781,-200,3,1,661,25,1271,37,1299,568,17
30/05/2004,06.00.00,0,1,781,-200,2,9,645,32,1295,45,1320,575,17
30/05/2004,07.00.00,0,2,828,-200,3,6,690,48,1263,61,1353,658,18
30/05/2004,08.00.00,0,3,803,-200,2,7,635,60,1417,67,1272,537,20
30/05/2004,09.00.00,0,3,811,-200,3,0,653,52,1411,60,1269,486,22
30/05/2004,10.00.00,0,4,844,-200,3,7,696,58,1353,64,1292,507,25
30/05/2004,11.00.00,0,3,833,-200,3,8,697,54,1361,64,1294,496,27
30/05/2004,12.00.00,0,3,832,-200,4,2,719,52,1318,59,1299,502,28
30/05/2004,13.00.00,0,1,771,-200,2,6,626,34,1502,41,1210,430,29
30/05/2004,14.00.00,0,1,783,-200,2,8,637,41,1498,46,1215,439,29
30/05/2004,15.00.00,0,2,815,-200,4,2,723,41,1378,46,1256,471,32
30/05/2004,16.00.00,0,6,912,-200,6,2,819,65,1224,77,1368,589,30
30/05/2004,17.00.00,0,5,894,-200,5,2,774,65,1239,83,1339,598,31
30/05/2004,18.00.00,0,9,963,-200,7,7,885,84,1102,90,1447,695,29
30/05/2004,19.00.00,1,1,990,-200,8,8,930,89,1045,95,1506,739,27
30/05/2004,20.00.00,1,3,1025,-200,10,1,980,114,986,113,1591,891,25
30/05/2004,21.00.00,1,5,997,-200,9,8,971,127,993,128,1573,930,23
30/05/2004,22.00.00,1,2,976,-200,8,4,916,117,1044,117,1515,880,22
30/05/2004,23.00.00,0,4,878,-200,5,4,784,46,1181,64,1407,610,21
31/05/2004,00.00.00,0,2,836,-200,4,3,728,16,1213,28,1353,518,20
31/05/2004,01.00.00,0,3,855,-200,4,8,751,27,1107,46,1418,664,19
31/05/2004,02.00.00,-200,759,-200,2,1,588,4,1323,8,1286,515,19,7
31/05/2004,03.00.00,-200,738,-200,1,4,539,-200,1421,-200,1257,477,18,9
31/05/2004,04.00.00,-200,736,-200,1,3,528,19,1451,32,1254,477,18,7
31/05/2004,05.00.00,-200,765,-200,2,3,609,48,1304,57,1319,581,16,4
31/05/2004,06.00.00,0,5,909,-200,6,5,834,82,1031,60,1527,763,16
31/05/2004,07.00.00,1,6,1108,-200,14,2,1123,167,804,83,1801,1111,17
31/05/2004,08.00.00,3,6,1252,-200,22,7,1369,248,681,129,2120,1390,19
31/05/2004,09.00.00,2,2,1175,-200,16,3,1188,213,790,137,1901,1251,20
31/05/2004,10.00.00,1,6,1111,-200,14,1,1120,161,839,121,1790,1141,25
31/05/2004,11.00.00,1,4,1044,-200,12,6,1069,144,889,123,1683,942,28
31/05/2004,12.00.00,1,4,1018,-200,13,1,1088,127,909,120,1677,795,30
31/05/2004,13.00.00,1,5,1060,-200,14,2,1122,116,863,119,1721,836,30
31/05/2004,14.00.00,1,3,1071,-200,13,8,1110,124,864,121,1733,847,30
31/05/2004,15.00.00,1,2,1006,-200,12,1,1054,115,921,111,1636,769,30
31/05/2004,16.00.00,1,8,1104,-200,15,7,1171,150,827,128,1803,968,28
31/05/2004,17.00.00,3,1196,-200,21,4,1336,221,739,159,1971,1157,26,9
31/05/2004,18.00.00,3,5,1243,-200,25,0,1429,227,687,161,2093,1367,26
31/05/2004,19.00.00,2,4,1124,-200,16,6,1199,156,794,116,1858,1101,24
31/05/2004,20.00.00,1,1,1020,-200,10,7,1003,97,904,96,1716,916,21
31/05/2004,21.00.00,0,8,1035,-200,7,5,878,78,977,69,1694,825,19
31/05/2004,22.00.00,0,4,986,-200,5,3,781,60,1063,58,1633,693,17
31/05/2004,23.00.00,0,6,1017,-200,6,5,834,61,986,59,1676,734,17
01/06/2004,00.00.00,0,3,922,-200,4,7,750,46,1085,45,1585,685,18
01/06/2004,01.00.00,-200,830,-200,2,9,644,17,1235,23,1487,524,19,6
01/06/2004,02.00.00,-200,805,-200,2,0,583,18,1339,26,1494,527,18,0
01/06/2004,03.00.00,-200,760,-200,1,1,505,-200,1527,-200,1413,452,17,3
01/06/2004,04.00.00,-200,783,-200,1,3,529,16,1437,24,1435,466,16,5
01/06/2004,05.00.00,0,1,854,-200,2,4,613,39,1272,41,1515,565,16
01/06/2004,06.00.00,0,3,985,-200,6,1,816,107,987,65,1677,799,17
01/06/2004,07.00.00,1,4,1225,-200,12,5,1067,190,760,94,1922,1102,16
01/06/2004,08.00.00,2,7,1313,-200,19,5,1283,236,671,100,2180,1299,17
01/06/2004,09.00.00,2,3,1199,-200,15,2,1156,227,758,103,1958,1272,18
01/06/2004,10.00.00,1,8,1182,-200,12,0,1051,211,829,89,1870,1206,19
01/06/2004,11.00.00,1,6,1173,-200,12,4,1063,201,814,86,1905,1218,20
01/06/2004,12.00.00,1,9,1259,-200,15,9,1178,191,722,89,2060,1367,21
01/06/2004,13.00.00,2,5,1263,-200,15,7,1171,192,759,88,2029,1290,24
01/06/2004,14.00.00,1,6,1156,-200,13,5,1100,143,800,73,1884,1175,25
01/06/2004,15.00.00,1,5,1167,-200,12,4,1065,148,808,78,1886,1139,24
01/06/2004,16.00.00,2,5,1278,-200,17,1,1213,183,733,95,2041,1293,24
01/06/2004,17.00.00,3,6,1342,-200,22,0,1351,216,657,109,2201,1419,23
01/06/2004,18.00.00,3,5,1353,-200,19,9,1292,184,683,95,2178,1326,23
01/06/2004,19.00.00,4,8,1501,-200,27,9,1501,248,588,101,2486,1517,21
01/06/2004,20.00.00,3,7,1355,-200,19,7,1289,221,678,88,2158,1391,21
01/06/2004,21.00.00,2,1,1230,-200,15,7,1169,159,737,77,2020,1275,20
01/06/2004,22.00.00,1,6,1148,-200,12,0,1048,136,822,75,1883,1168,20
01/06/2004,23.00.00,2,2,1171,-200,13,1,1088,168,822,81,1889,1132,20
02/06/2004,00.00.00,0,8,1021,-200,9,2,949,95,927,57,1764,977,19
02/06/2004,01.00.00,-200,964,-200,7,5,877,70,958,49,1692,942,19,9
02/06/2004,02.00.00,-200,887,-200,4,9,758,43,1094,38,1622,804,19,1
02/06/2004,03.00.00,-200,885,-200,5,2,773,-200,1051,-200,1641,805,18,5
02/06/2004,04.00.00,-200,830,-200,3,2,662,30,1217,31,1556,704,18,9
02/06/2004,05.00.00,-200,792,-200,2,4,611,22,1280,23,1529,657,20,0
02/06/2004,06.00.00,-200,813,-200,2,8,639,25,1267,22,1538,655,19,8
02/06/2004,07.00.00,-200,890,-200,3,9,703,48,1145,33,1601,751,19,7
02/06/2004,08.00.00,-200,984,-200,6,9,854,73,964,43,1751,885,20,8
02/06/2004,09.00.00,-200,1043,-200,8,5,920,95,925,53,1777,955,22,2
02/06/2004,10.00.00,-200,1054,-200,8,9,936,86,915,54,1791,962,24,3
02/06/2004,11.00.00,-200,1063,-200,8,8,930,102,925,62,1749,957,25,0
02/06/2004,12.00.00,-200,978,-200,7,4,873,80,1003,53,1669,788,28,9
02/06/2004,13.00.00,-200,887,-200,4,7,748,36,1141,34,1560,596,29,6
02/06/2004,14.00.00,-200,887,-200,4,8,754,32,1164,30,1523,560,30,9
02/06/2004,15.00.00,-200,977,-200,6,8,850,46,1035,37,1645,701,31,8
02/06/2004,16.00.00,-200,1043,-200,8,9,934,61,929,47,1707,811,31,4
02/06/2004,17.00.00,-200,1010,-200,8,1,902,59,966,44,1676,724,28,9
02/06/2004,18.00.00,-200,1094,-200,10,5,996,76,876,53,1807,864,27,2
02/06/2004,19.00.00,-200,1223,-200,14,8,1142,145,778,88,1965,1084,26,2
02/06/2004,20.00.00,-200,1109,-200,11,8,1042,140,834,95,1888,998,24,5
02/06/2004,21.00.00,-200,1026,-200,8,7,927,102,915,82,1781,878,22,8
02/06/2004,22.00.00,-200,1036,-200,8,7,928,89,914,59,1787,909,21,9
02/06/2004,23.00.00,-200,963,-200,6,9,853,62,995,43,1732,789,21,7
03/06/2004,00.00.00,-200,996,-200,7,3,868,69,957,51,1741,857,20,8
03/06/2004,01.00.00,-200,999,-200,6,9,853,63,951,49,1756,885,20,3
03/06/2004,02.00.00,-200,893,-200,4,6,741,31,1056,36,1664,743,18,9
03/06/2004,03.00.00,-200,730,-200,1,3,530,-200,1517,-200,1362,445,18,1
03/06/2004,04.00.00,-200,753,-200,1,7,562,17,1420,24,1414,454,18,6
03/06/2004,05.00.00,-200,825,-200,3,2,663,61,1203,58,1504,610,17,6
03/06/2004,06.00.00,-200,1012,-200,10,1,982,184,882,73,1796,1024,17,6
03/06/2004,07.00.00,-200,1221,-200,19,9,1293,248,688,74,2144,1316,19,0
03/06/2004,08.00.00,-200,1215,-200,20,2,1303,220,694,97,2180,1358,20,0
03/06/2004,09.00.00,-200,1234,-200,20,8,1318,243,714,108,2108,2202,22,6
03/06/2004,10.00.00,-200,1138,-200,15,1,1152,164,798,93,1877,1947,27,3
03/06/2004,11.00.00,-200,987,-200,10,9,1009,-200,914,-200,1697,1227,27,4
03/06/2004,12.00.00,-200,980,-200,11,1,1019,-200,921,-200,1720,950,26,2
03/06/2004,13.00.00,-200,966,-200,12,1,1054,-200,885,-200,1742,917,26,8
03/06/2004,14.00.00,-200,905,-200,8,6,923,-200,1025,-200,1582,707,28,7
03/06/2004,15.00.00,-200,903,-200,9,7,968,-200,992,-200,1565,740,28,7
03/06/2004,16.00.00,-200,914,-200,11,0,1014,-200,988,-200,1597,775,29,1
03/06/2004,17.00.00,-200,1050,-200,16,6,1199,-200,849,-200,1781,1035,29,0
03/06/2004,18.00.00,-200,1043,-200,14,7,1139,-200,876,-200,1756,1001,27,2
03/06/2004,19.00.00,-200,1125,-200,19,5,1283,-200,792,-200,1899,1101,25,3
03/06/2004,20.00.00,-200,1058,-200,14,5,1134,-200,855,-200,1797,1034,24,1
03/06/2004,21.00.00,-200,951,-200,7,8,892,-200,1015,-200,1611,786,23,0
03/06/2004,22.00.00,-200,944,-200,7,8,891,-200,1016,-200,1593,844,22,1
03/06/2004,23.00.00,-200,959,-200,7,8,892,-200,996,-200,1616,866,21,0
04/06/2004,00.00.00,-200,974,-200,8,5,919,-200,976,-200,1638,909,20,6
04/06/2004,01.00.00,-200,880,-200,5,7,799,-200,1097,-200,1533,724,21,2
04/06/2004,02.00.00,-200,853,-200,4,5,740,-200,1146,-200,1526,715,21,0
04/06/2004,03.00.00,-200,912,-200,5,6,795,-200,1042,-200,1564,827,20,1
04/06/2004,04.00.00,-200,863,-200,4,6,745,-200,1098,-200,1496,786,19,0
04/06/2004,05.00.00,-200,729,-200,1,2,520,-200,1570,-200,1318,445,19,2
04/06/2004,06.00.00,-200,830,-200,3,4,674,-200,1246,-200,1459,607,19,2
04/06/2004,07.00.00,-200,1198,-200,17,0,1209,-200,779,-200,2058,1213,20,6
04/06/2004,08.00.00,-200,971,-200,10,0,977,-200,921,-200,1667,910,21,8
04/06/2004,09.00.00,-200,885,-200,6,0,812,-200,1100,-200,1495,675,22,8
04/06/2004,10.00.00,-200,862,-200,5,7,798,-200,1148,-200,1456,582,24,8
04/06/2004,11.00.00,-200,892,-200,6,9,853,-200,1080,-200,1509,666,26,0
04/06/2004,12.00.00,-200,933,-200,9,5,960,-200,994,-200,1577,726,27,0
04/06/2004,13.00.00,-200,975,-200,11,1,1017,-200,930,-200,1668,801,27,0
04/06/2004,14.00.00,-200,927,-200,8,1,905,-200,1016,-200,1554,711,27,0
04/06/2004,15.00.00,-200,993,-200,10,2,985,-200,950,-200,1680,790,25,8
